T,P,Method,Size
300,250,naive bootstrap,0.5529999999999999
300,250,nominal size,0.1
300,250,our bootstrap,0.07100000000000001
300,250,nominal size,0.1
300,200,naive bootstrap,0.512
300,200,nominal size,0.1
300,200,our bootstrap,0.07300000000000001
300,200,nominal size,0.1
300,100,naive bootstrap,0.3465
300,100,nominal size,0.1
300,100,our bootstrap,0.07150000000000001
300,100,nominal size,0.1
300,50,naive bootstrap,0.2405
300,50,nominal size,0.1
300,50,our bootstrap,0.0755
300,50,nominal size,0.1
500,450,naive bootstrap,0.5845
500,450,nominal size,0.1
500,450,our bootstrap,0.08249999999999999
500,450,nominal size,0.1
500,350,naive bootstrap,0.501
500,350,nominal size,0.1
500,350,our bootstrap,0.07850000000000001
500,350,nominal size,0.1
500,150,naive bootstrap,0.326
500,150,nominal size,0.1
500,150,our bootstrap,0.078
500,150,nominal size,0.1
500,50,naive bootstrap,0.19749999999999998
500,50,nominal size,0.1
500,50,our bootstrap,0.0885
500,50,nominal size,0.1
